1,JAMES,SMITH,JAMES.SMITH@oit.edu,PassWord1,Admin
2,JOHN,JOHNSON,JOHN.JOHNSON@oit.edu,PassWord2,Moderater
3,ROBERT,WILLIAMS,ROBERT.WILLIAMS@oit.edu,PassWord3,User
4,MICHAEL,BROWN,MICHAEL.BROWN@oit.edu,PassWord4,User
5,WILLIAM,JONES,WILLIAM.JONES@oit.edu,PassWord5,User
6,DAVID,MILLER,DAVID.MILLER@oit.edu,PassWord6,User
7,RICHARD,DAVIS,RICHARD.DAVIS@oit.edu,PassWord7,User
8,CHARLES,GARCIA,CHARLES.GARCIA@oit.edu,PassWord8,User
9,JOSEPH,RODRIGUEZ,JOSEPH.RODRIGUEZ@oit.edu,PassWord9,User
10,THOMAS,WILSON,THOMAS.WILSON@oit.edu,PassWord10,User
11,CHRISTOPHER,MARTINEZ,CHRISTOPHER.MARTINEZ@oit.edu,PassWord11,User
12,DANIEL,ANDERSON,DANIEL.ANDERSON@oit.edu,PassWord12,User
13,PAUL,TAYLOR,PAUL.TAYLOR@oit.edu,PassWord13,User
14,MARK,THOMAS,MARK.THOMAS@oit.edu,PassWord14,User
15,DONALD,HERNANDEZ,DONALD.HERNANDEZ@oit.edu,PassWord15,User
16,GEORGE,MOORE,GEORGE.MOORE@oit.edu,PassWord16,Moderater
17,KENNETH,MARTIN,KENNETH.MARTIN@oit.edu,PassWord17,User
18,STEVEN,JACKSON,STEVEN.JACKSON@oit.edu,PassWord18,User
19,EDWARD,THOMPSON,EDWARD.THOMPSON@oit.edu,PassWord19,User
20,BRIAN,WHITE,BRIAN.WHITE@oit.edu,PassWord20,User
21,RONALD,LOPEZ,RONALD.LOPEZ@oit.edu,PassWord21,User
22,ANTHONY,LEE,ANTHONY.LEE@oit.edu,PassWord22,User
23,KEVIN,GONZALEZ,KEVIN.GONZALEZ@oit.edu,PassWord23,Moderater
24,JASON,HARRIS,JASON.HARRIS@oit.edu,PassWord24,User
25,MATTHEW,CLARK,MATTHEW.CLARK@oit.edu,PassWord25,User
26,GARY,LEWIS,GARY.LEWIS@oit.edu,PassWord26,User
27,TIMOTHY,ROBINSON,TIMOTHY.ROBINSON@oit.edu,PassWord27,User
28,JOSE,WALKER,JOSE.WALKER@oit.edu,PassWord28,User
29,LARRY,PEREZ,LARRY.PEREZ@oit.edu,PassWord29,Moderater
30,JEFFREY,HALL,JEFFREY.HALL@oit.edu,PassWord30,Moderater
31,FRANK,YOUNG,FRANK.YOUNG@oit.edu,PassWord31,User
32,SCOTT,ALLEN,SCOTT.ALLEN@oit.edu,PassWord32,User
33,ERIC,SANCHEZ,ERIC.SANCHEZ@oit.edu,PassWord33,User
34,STEPHEN,WRIGHT,STEPHEN.WRIGHT@oit.edu,PassWord34,User
35,ANDREW,KING,ANDREW.KING@oit.edu,PassWord35,User
36,RAYMOND,SCOTT,RAYMOND.SCOTT@oit.edu,PassWord36,User
37,GREGORY,GREEN,GREGORY.GREEN@oit.edu,PassWord37,User
38,JOSHUA,BAKER,JOSHUA.BAKER@oit.edu,PassWord38,User
39,JERRY,ADAMS,JERRY.ADAMS@oit.edu,PassWord39,User
40,DENNIS,NELSON,DENNIS.NELSON@oit.edu,PassWord40,User
41,WALTER,HILL,WALTER.HILL@oit.edu,PassWord41,User
42,PATRICK,RAMIREZ,PATRICK.RAMIREZ@oit.edu,PassWord42,User
43,PETER,CAMPBELL,PETER.CAMPBELL@oit.edu,PassWord43,User
44,HAROLD,MITCHELL,HAROLD.MITCHELL@oit.edu,PassWord44,User
45,DOUGLAS,ROBERTS,DOUGLAS.ROBERTS@oit.edu,PassWord45,User
46,HENRY,CARTER,HENRY.CARTER@oit.edu,PassWord46,User
47,CARL,PHILLIPS,CARL.PHILLIPS@oit.edu,PassWord47,User
48,ARTHUR,EVANS,ARTHUR.EVANS@oit.edu,PassWord48,User
49,RYAN,TURNER,RYAN.TURNER@oit.edu,PassWord49,User
50,ROGER,TORRES,ROGER.TORRES@oit.edu,PassWord50,User
51,JOE,PARKER,JOE.PARKER@oit.edu,PassWord51,User
52,JUAN,COLLINS,JUAN.COLLINS@oit.edu,PassWord52,User
53,JACK,EDWARDS,JACK.EDWARDS@oit.edu,PassWord53,User
54,ALBERT,STEWART,ALBERT.STEWART@oit.edu,PassWord54,User
55,JONATHAN,FLORES,JONATHAN.FLORES@oit.edu,PassWord55,User
56,JUSTIN,MORRIS,JUSTIN.MORRIS@oit.edu,PassWord56,User
57,TERRY,NGUYEN,TERRY.NGUYEN@oit.edu,PassWord57,User
58,GERALD,MURPHY,GERALD.MURPHY@oit.edu,PassWord58,User
59,KEITH,RIVERA,KEITH.RIVERA@oit.edu,PassWord59,User
60,SAMUEL,COOK,SAMUEL.COOK@oit.edu,PassWord60,User
61,WILLIE,ROGERS,WILLIE.ROGERS@oit.edu,PassWord61,User
62,RALPH,MORGAN,RALPH.MORGAN@oit.edu,PassWord62,User
